#,x,GRASPT1,GRASPT2,GRASPT3,TST1,TST2,TST3,GAT1,GAT2,GAT3
104,0.5175,0.016,0.14,0.26,0,0.328,11.312,1.516,2.25,3.093
105,0.5225,0.016,0.14,0.265,0,0.329,11.391,1.516,2.25,3.094
106,0.5275,0.016,0.14,0.266,0,0.344,11.803,1.516,2.25,3.101
107,0.5325,0.016,0.144,0.266,0,0.344,12.078,1.531,2.265,3.156
108,0.5375,0.016,0.148,0.266,0,0.344,12.094,1.531,2.266,3.203
109,0.5425,0.016,0.148,0.266,0,0.375,12.252,1.531,2.266,3.25
110,0.5475,0.016,0.152,0.268,0,0.422,12.343,1.531,2.269,3.297
111,0.5525,0.016,0.152,0.276,0,0.439,12.453,1.531,2.269,3.344
112,0.5575,0.016,0.156,0.282,0,0.468,12.656,1.532,2.281,3.356
113,0.5625,0.016,0.156,0.288,0,0.469,12.859,1.547,2.284,3.375
114,0.5675,0.016,0.156,0.292,0,0.47,13.047,1.547,2.297,3.422
115,0.5725,0.016,0.164,0.297,0.006,0.484,13.922,1.547,2.312,3.438
116,0.5775,0.016,0.172,0.297,0.006,0.484,14.359,1.547,2.323,3.438
117,0.5825,0.016,0.172,0.3,0.015,0.486,14.39,1.547,2.323,3.546
118,0.5875,0.016,0.18,0.3,0.015,0.5,14.731,1.547,2.328,3.547
119,0.5925,0.016,0.187,0.3,0.015,0.516,15.844,1.557,2.343,3.578
120,0.5975,0.016,0.188,0.304,0.015,0.516,16.078,1.562,2.359,3.781
121,0.6025,0.016,0.188,0.308,0.015,0.531,16.172,1.563,2.359,3.782
122,0.6075,0.016,0.188,0.316,0.015,0.531,16.671,1.563,2.36,3.797
123,0.6125,0.016,0.192,0.319,0.015,0.562,17.074,1.573,2.36,3.828
124,0.6175,0.016,0.194,0.324,0.015,0.563,17.289,1.578,2.36,3.859
125,0.6225,0.016,0.196,0.332,0.015,0.578,18.266,1.594,2.375,3.86
126,0.6275,0.016,0.196,0.34,0.015,0.578,18.937,1.594,2.375,3.875
127,0.6325,0.016,0.2,0.344,0.015,0.578,19.016,1.594,2.375,3.899
128,0.6375,0.016,0.203,0.352,0.015,0.58,19.068,1.609,2.377,4.013
129,0.6425,0.016,0.203,0.356,0.015,0.594,19.265,1.609,2.391,4.047
130,0.6475,0.016,0.203,0.359,0.015,0.609,19.462,1.61,2.406,4.093
131,0.6525,0.016,0.203,0.36,0.015,0.609,19.5,1.61,2.406,4.281
132,0.6575,0.016,0.204,0.36,0.015,0.609,19.766,1.61,2.422,4.453
133,0.6625,0.016,0.204,0.364,0.015,0.609,19.844,1.612,2.437,4.531
134,0.6675,0.016,0.208,0.372,0.015,0.625,19.938,1.625,2.438,4.532
135,0.6725,0.016,0.216,0.375,0.015,0.625,20.231,1.625,2.438,4.538
136,0.6775,0.016,0.219,0.375,0.015,0.641,21.609,1.625,2.453,4.61
137,0.6825,0.02,0.219,0.376,0.015,0.672,22.078,1.628,2.453,4.671
138,0.6875,0.02,0.224,0.376,0.015,0.688,22.717,1.633,2.484,4.922
139,0.6925,0.02,0.232,0.384,0.015,0.702,23.185,1.64,2.495,5.183
140,0.6975,0.02,0.234,0.384,0.015,0.703,23.922,1.641,2.5,6.469
141,0.7025,0.02,0.234,0.39,0.015,0.75,27.156,1.641,2.515,7.453
142,0.7075,0.02,0.235,0.391,0.015,0.75,27.297,1.644,2.515,7.5
143,0.7125,0.02,0.235,0.391,0.015,0.75,27.563,1.656,2.516,7.625
144,0.7175,0.02,0.236,0.406,0.015,0.797,27.941,1.656,2.531,7.75
145,0.7225,0.02,0.24,0.408,0.015,0.818,28.078,1.658,2.547,8.031
146,0.7275,0.024,0.24,0.416,0.016,0.828,28.797,1.667,2.547,8.406
147,0.7325,0.024,0.248,0.422,0.016,0.859,28.859,1.672,2.594,10.484
148,0.7375,0.024,0.25,0.422,0.016,0.89,28.875,1.672,2.594,11.156
149,0.7425,0.024,0.252,0.422,0.016,0.906,29.172,1.687,2.656,13.345
150,0.7475,0.024,0.252,0.422,0.016,0.953,29.734,1.687,2.7,13.719
151,0.7525,0.024,0.26,0.422,0.016,0.954,29.797,1.688,2.703,15.547
152,0.7575,0.024,0.265,0.424,0.016,0.984,29.859,1.693,2.747,15.75
153,0.7625,0.024,0.266,0.437,0.016,1.003,30.551,1.703,2.75,18.422
